"type","item1","file","date","desc"
"01.OS_Image05","Windows 10， version 21H2 build 19044.1266 (9C) ISOs","","10月26日","Please find the updated Windows 10， version 21H2 19044.1266 Preview ISO files and Inbox Apps Media for build 19041.928. We are releasing this new updated set of ISOs so OEMs can validate and ensure the fix for booting into audit mode on your devices works. Report any issues related to the updated media immediately， and provide any feedback or concerns as soon as you discover them.     When filing any bugs please add “21H2” to your title and ensure the found in build is “19044.1266” so we can properly triage your issues. If you find issues that are regression from 21H1， please mark the bug as a regression = yes."
"01.OS_Image05","Windows 10， version 21H2 build 19044.1266 (9C) ISOs","","10月26日","Please find the updated Windows 10， version 21H2 19044.1266 Preview ISO files and Inbox Apps Media for build 19041.928. We are releasing this new updated set of ISOs so OEMs can validate and ensure the fix for booting into audit mode on your devices works. Report any issues related to the updated media immediately， and provide any feedback or concerns as soon as you discover them.     When filing any bugs please add “21H2” to your title and ensure the found in build is “19044.1266” so we can properly triage your issues. If you find issues that are regression from 21H1， please mark the bug as a regression = yes."
"02.OS_UpdatePackage","Windows 10， version 21H2 build 19044.1266 (9C) ISOs","","10月26日","Please find the updated Windows 10， version 21H2 19044.1266 Preview ISO files and Inbox Apps Media for build 19041.928. We are releasing this new updated set of ISOs so OEMs can validate and ensure the fix for booting into audit mode on your devices works. Report any issues related to the updated media immediately， and provide any feedback or concerns as soon as you discover them.     When filing any bugs please add “21H2” to your title and ensure the found in build is “19044.1266” so we can properly triage your issues. If you find issues that are regression from 21H1， please mark the bug as a regression = yes."
"01.OS_Image05","Windows 10， version 21H2 build 19044.1288 (10B) ISOs","","10月26日","Please find the updated Windows 10， version 21H2 19044.1288 (10😎 Preview ISO files and Inbox Apps Media for build 19041.928. This is the preview of the ""Final Media"".  We are releasing this new updated set of ISOs so OEMs can validate and ensure the fix for booting into audit mode on your devices works. Report any issues related to the updated media immediately and provide any feedback or concerns as soon as you discover them.     When filing any bugs please add “21H2” to your title and ensure the found in build is “19044.1288” so we can properly triage your issues. If you find issues that are regression from 21H1， please mark the bug as a regression = yes."
"01.OS_Image05","Windows 10， version 21H2 build 19044.1288 (10B) ISOs","","10月26日","Please find the updated Windows 10， version 21H2 19044.1288 (10😎 Preview ISO files and Inbox Apps Media for build 19041.928. This is the preview of the ""Final Media"".  We are releasing this new updated set of ISOs so OEMs can validate and ensure the fix for booting into audit mode on your devices works. Report any issues related to the updated media immediately and provide any feedback or concerns as soon as you discover them.     When filing any bugs please add “21H2” to your title and ensure the found in build is “19044.1288” so we can properly triage your issues. If you find issues that are regression from 21H1， please mark the bug as a regression = yes."
"01.OS_Image05","Client | BLD | BIOS/UEFI | Secured-core PC Device Identifier Disclosure","","10月26日","Please find the updated Windows 10， version 21H2 19044.1288 (10😎 Preview ISO files and Inbox Apps Media for build 19041.928. This is the preview of the ""Final Media"".  We are releasing this new updated set of ISOs so OEMs can validate and ensure the fix for booting into audit mode on your devices works. Report any issues related to the updated media immediately and provide any feedback or concerns as soon as you discover them.     When filing any bugs please add “21H2” to your title and ensure the found in build is “19044.1288” so we can properly triage your issues. If you find issues that are regression from 21H1， please mark the bug as a regression = yes."
"01.OS_Image99","Client | BLD | Windows 11 Skip Ahead Build | 22489 ARM64 Client Consumer and Enterprise EN-US","","10月29日","Please find the preview builds for Windows Next Build 22489.1000.  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22489.1000”.  If you have any questions， please reach out to your Microsoft contact.    Arch: x86， x64  Editions: Enterprise OEM， Consumer， Business  Build type: FRE"
"01.OS_Image99","Client | BLD | Windows 11 Skip Ahead Build | 22557 Client Consumer Localized Languages","","2月17日","Please find the preview builds for Windows Next Build 22557.1.  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22557.1”.  If you have any questions， please reach out to your Microsoft contact.    Arch: x64   Client Business: AR-SA， CS-CZ， DA-DK， DE-DE， EN-GB， ES-ES， ES-MX， FI-FI， FR-CA， FR-FR， IT-IT， JA-JP， KO-KR， NB-NO， NL-NL， PL-PL， PT-BR， RU-RU， SV-SE， TH-TH， TR-TR， ZH-CN， ZH-TW    Editions: Pro VL， Education VL， Enterprise VL"
"01.OS_Image99","Client | BLD | Windows 11 Skip Ahead Build | 22557 All Editions EN-US Only","","2月17日","Please find the preview builds for Windows Next Build 22557.1  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22557.1”.  If you have any questions， please reach out to your Microsoft contact.  Arch: x64  Editions: Enterprise OEM， Consumer， Business  Build type: FRE"
"01.OS_Image05","Client | BLD | EEAP Preview Windows 11 Build | 22567 Client Enterprise VHDX","","3月3日","Please find the preview builds for Windows Next Build 22567.1.  This is for testing and validation purposes only and not for released products.  Please file bugs for any issues you see and include the Found In build number of “22567.1”.  If you have any questions， please reach out to your Microsoft contact.  Arch: x64  Editions: Enterprise OEM， Consumer， Business  Build type: FRE"
